Year,Authors with ETIS account,Title,URL,DOI,Imported keywords,Author keywords,Abstract
2024,Kaarel Sikk,Framing settlement systems as spatial adaptive systems,,http://dx.doi.org/10.1016/j.ecolmodel.2024.110652,Complex adaptive systems | Complexity | Locational modelling | Residential location choice | Settlement systems | Social-ecological systems,," Theoretical developments are needed to interpret the increasing amount of large-scale spatial data about past settlements. So far, settlement patterns have mostly been considered as passive imprints of past human activities and most theories are limited to ecological processes. Locational and spatial interactions have scarcely been included as long-term driving forces of settlement systems but hold promise to explain large-scale patterns. This paper proposes a conceptual model for long-term spatial adaptive settlement systems based on the complex adaptive systems framework and both spatial and cross-scale interactions. The goal of the model is to find new ways of interpreting archaeological location data and understand settlement systems as emerging from micro-choices of population units interacting in space. The conceptualisation is carried out on a level that it can be used to bridge hunter-gatherer and urban theories. We first describe settlement patterns based on concepts from archaeological locational studies and social-ecological systems. Second, we identify the abstract spatial and aspatial entities of the system and describe the potential relations between them. Using knowledge from previous research, we then map both empirically observable and abstract system entities and predict links between them in order to come up with an overarching conceptual framework. The system is based on residential choice mechanisms and exposes several cross-scale feedback loops between the micro-level choices and the settlement system emerging at the meso-level. We finally argue that the proposed adaptive settlement system framework has the potential to bring new insights into long-term processes, especially through dynamic spatial simulation, and at the same time, provides an interpretational framework for archaeological records and empirical spatial analysis. Examples of its applications in archaeological research are introduced."
2022,Kati Kõrbe Kaare; Muhammad Mahtab Alam,5G as an Enabler of Connected-and-Automated Mobility in European Cross-Border Corridors: A Market Assessment,https://www.mdpi.com/2071-1050/14/21/14411/htm,http://dx.doi.org/10.3390/su142114411,,,"5G systems are capable of facilitating remarkable technological advances and promoting sustainability in Internet-of-Things-centric fields, such as the Transport and Logistics (T&L) sector and applications in Connected-and-Automated Mobility (CAM). The current article provides an overview of the latest developments in the applications of the 5G mobile network standard in CAM and is specifically focused on analyzing existing and potential applications within European T&L corridors and subsequent markets. A focused marketplace analysis is conducteFd, highlighting the demands of commercialization clusters within European cross-border markets, as well as an analysis of how some of these demands can supplement the deployment of 5G products and services in the coming years. With the aim of providing a macro-level description of the landscape of 5G applications in CAM, the authors further discuss and classify the markets' influencing factors according to the PESTEL framework, which is further enhanced to include the recent impacts of the COVID-19 pandemic and the war in Ukraine. The findings display that while 5G is a crucial underlying technology for the establishment of CAM, several factors, such as international security, political coordination at the EU level, and common technological standards across EU member states, will have a central role in the successful deployment of its applications."
2021,Andres Trikkel; Can Rüstü Yörük; Jekaterina Jefimova; Mai Uibu; Marve Einard; Rein Kuusik; Tiit Kaljuvee; Valli Loide,Study of Thermooxidation of Oil Shale Samples and Basics of Processes for Utilization of Oil Shale Ashes,https://www.mdpi.com/2075-163X/11/2/193,http://dx.doi.org/10.3390/min11020193,,,"A circular economy becomes an object of actual discussions as a real alternative to the existing linear economy system. The problem is actually in Estonia also, first of all in the sector of heat and power production which based mainly on the combustion of local solid fossil fuel: Estonian oil shale (OS) resulting in the formation of ~5&6 million tons of OS ashes annually. The thermooxidative decomposition of OS samples from different deposits and estimation of the possibilities of utilization of OS ashes formed at both: pulverized firing (PF) and circulating fluidized bed combustion (CFBC) of Estonian OS were studied. The thermal analysis combined with evolved gas analysis (EGA) methods like Fourier transform infrared (FTIR) and mass-spectroscopy (MS) was exploited. It was established that the differences in the thermal behaviour of different OS samples are caused by the differences in the chemical matrix of organic matter, chemical and mineralogical composition of the inorganic part of OS, and morphology of samples. It was also found that moderate grinding of OS ashes with simultaneous moderate water treatment notably improved the SO2binding efficiency of cyclone ash, and that the strength and leachability characteristics of granulated OS ashes strongly depend on the post-granulation treatment conditions allowing to increase the soil neutralizing ability of the granulated products. This overview was based on our investigations carried out during the last fifteen years."
2022,Emlyn David Qivitoq Witt,Approaches to Strengthen the Social Cohesion between Displaced and Host Communities,https://www.mdpi.com/2071-1050/14/6/3413/htm,https://doi.org/10.3390/su14063413,,,"A cohesive society is not only characterised by the availability of basic services and facilities, but also promotes economic equality and inclusion, democracy, and social solidarity. Forced displacement due to disasters and conflict constantly disrupt the path to a sustainable and cohesive society. Displaced communities often struggle with a lack of access to livelihood and a lack of financial independence and social and family stability. With these challenges, a lack of provision of basic services and facilities will create a competition for housing, health, and education between the displaced and host communities. Additionally, the economic competition for jobs and the role of international aid in terms of fairness create social tension between the displaced and the host. Likewise, multiple aspects weaken the social cohesion between displaced and host communities. Within this context, we investigated approaches to enhance social cohesion following disaster-induced and conflict-induced displacement. With the identification of this research need, the research team of the project titled REGARD (REbuild-inG AfteR Displacement) conducted 47 in-depth interviews in four partner countries (U.K., Sweden, Estonia, and Sri Lanka) with community representatives, social support networks, agency networks, officials, etc. Moreover, focus group discussions were conducted with community members in Sri Lanka. The collected data were analysed through a qualitative data analysis procedure. The findings present eight approaches to strengthen the social cohesion between displaced and host communities. These eight approaches include the adequate provision of basic services and facilities without limiting the capacity of the host, support services aimed at local integration, economic integration between the displaced and host, and social cohesion through the built environment."
2023,Anu Adamson; Kenneth Tuul,"Alkyl Dicarbonates, Common Electrolyte Degradation Products, Can Enable Long-Lived Li-Ion Cells at High Temperatures",,http://doi.org/10.1149/1945-7111/acf886,,,"A common degradation product dimethyl-2,5-dioxahexane carboxylate (DMOHC) produced in Li-ion cell electrolytes after ageing is used here as an electrolyte solvent, allowing Li-ion cells to operate at high temperatures (70 °C and 85 °C) with excellent capacity retention and low impedance growth. Viscosity and conductivity values are reported for various DMOHC and diethyl-2,5- dioxahexane carboxylate (DEOHC) blends with dimethyl carbonate (DMC) and diethyl carbonate (DEC). Charge-discharge cycling data are reported for LiFePO4/graphite (LFP), Li[Ni0.5Mn0.3Co0.2]O2/graphite (NMC3.8 V, balanced for 3.8 V cut-off), Li[Ni0.6Mn0.4Co00]O2/graphite (NMC640, balanced for 4.1 V cut-off) and Li[Ni0.83Mn0.06Co0.11]O2/graphite (Ni83, balanced for 4.06 V cut-off) pouch cells at 70 °C and 85 °C. Pouch cells with DMOHC electrolyte have extraordinarily long lifetimes at 70 °C and 85 °C Pouch cells containing DMOHC-based electrolytes produce little to no gas compared to traditional ethylene carbonate (EC) based electrolytes. Cells taken apart after testing showed uniform negative electrode lithiation and no differences in the cell components were observed when using DMOHC electrolytes compared to EC. Lastly, micro X-ray fluorescence spectroscopy analysis was performed to probe the degree of transition metal deposition on negative electrodes of cycled cells. Very low levels of transition metals were found on the negative electrode even for cells tested at 85 °C. DMOHC is a co-solvent that can enable Li-ion batteries with exceptional high temperature lifetimes."
2021,Michel Poulain,"Description of Lifestyle, Including Social Life, Diet and Physical Activity, of People â‰¥90 years Living in Ikaria, a Longevity Blue Zone",https://www.mdpi.com/1660-4601/18/12/6602,http://dx.doi.org/10.3390/ijerph18126602,,,"A cross-sectional observational study was conducted to describe the lifestyle of people â‰¥90 years, living in Evdilos or Raches, two municipalities of the Greek island of Ikaria, classified a longevity blue zone. The 71 participants were interviewed and underwent the Mediterranean Islands study food frequency questionnaire (MEDIS-FFQ) and the international physical activity questionnaire (IPAQ). The frequency of social contacts was daily for 77.9% of participants, weekly for 16.1%, and monthly for 5.9%. Most participants (90.0%) believed in God, and 81.4% took part in religious events. A total of 62.0% attended Panigiria festivals. Access to primary health care was considered difficult in the past for 66.2% of participants, while 22.1% felt that it remained difficult at the time of the survey. The level of adherence to the Mediterranean diet was 62.7% (61.6% in women and 64.0% in men). Physical activity levels were moderate or high for 71.8% of participants (59.5% of women and 85.3% of men). In conclusion, the participants had a very high level of family solidarity, social interaction and physical activity. The results concerning the Mediterranean diet are less convincing. It would be interesting to study the impact of these factors on the longevity of the oldest old aged people living in Ikaria."
2024,Liina Maurer; Mikhail Fiadotau; Peadar Callaghan,Game on for Climate Action: BIG GAME Delivers Engaging STEM Learning ,https://www.mdpi.com/2227-7102/14/8/893,http://dx.doi.org/10.3390/educsci14080893,,"STEM education
digital transformation
game-based learning
serious game
multidisciplinarity
environmental sustainability
collaborative learning","A decline in European students' interest in STEM subjects, exacerbated by the COVID-19 pandemic's disruption of education, has raised concerns about the continent's future workforce. To address this challenge, this study investigates the efficacy of the BIG GAME project methodology, a cooperative story-driven digital game approach designed to engage secondary students in collaborative environmental problem-solving. Implemented across Romania, Italy, Estonia, and Finland, this six-month study employed a mixed-methods design involving 62 teachers and 239 students in ten distinct game missions focused on environmental challenges. The quantitative results indicated significant improvements in students' transversal skills (teamwork, communication, and critical thinking), as reported by over 75% of teachers. The qualitative data emphasised the value of structured peer review in developing students' reflective practices. This research underscores the importance of teacher facilitation in game-based learning and problem-based simulations and highlights the potential of such methodologies to boost student engagement and environmental awareness. These findings suggest that the BIG GAME project approach could be a valuable tool for revitalising STEM education and cultivating future-ready citizens."
2023,Kaspar Valgepea; Kristina Reinmets; Pratik Rajendra Pawar; Ugochi Jennifer Nwaokorie,"Deletion of genes linked to the C1-fixing gene cluster affects growth, by-products, and proteome of Clostridium autoethanogenum",https://www.frontiersin.org/articles/10.3389/fbioe.2023.1167892/full,https://doi.org/10.3389/fbioe.2023.1167892,,,"A derivate ofC. autoethanogenumDSM 10061 strain deposited in the German Collection of Microorganisms and Cell Cultures (DSMZ) named â€œLAbriniâ€ (Ingelman et al., 2023) was stored as a glycerol stock at âˆ’80Â°C and used as the base strain for genetic engineering.Escherichia colistrains NEB Turbo and NEB Express (New England BioLabs) were used for cloning, plasmid assembly, and propagation. For transformant selection, the cultivation ofE. coliwas done in Lysogeny Broth (LB) medium supplemented with ampicillin (100Â Î¼g/mL)."
2022,Henri Ingelman; Kaspar Valgepea; Kristina Reinmets; Lorena Azevedo De Lima,Faster Growth Enhances Low Carbon Fuel and Chemical Production Through Gas Fermentation,https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.879578/full,http://dx.doi.org/10.3389/fbioe.2022.879578,acetogen | carbon recycling | chemostat | Clostridium autoethanogenum | gas fermentation | genome-scale metabolic modelling | metabolomics | transcriptomics,,"A derivate ofClostridium autoethanogenumDSM 10061 strain&DSM 23693: deposited in the German Collection of Microorganisms and Cell Cultures (DSMZ) was used in all experiments and stored as a glycerol stock at -80Â°C. Cells were grown either on CO (60% CO and 40% Ar; AS Eesti AGA) or syngas (50% CO, 20% H2, 20% CO2, and 10% Ar; AS Eesti AGA) in a chemically defined medium without yeast extract described before (Valgepea et al., 2017a). Cells were grown under strictly anaerobic conditions at 37Â°C and at pH 5 maintained by 5M NH4OH. Chemostat continuous cultures were performed in 1.4Â L Multifors bioreactors (Infors AG) at a working volume of 750Â mL connected to a Hiden HPR-20-QIC mass spectrometer (Hiden Analytical) for online high-resolution off-gas analysis. The system was equipped with peristaltic pumps; mass flow controllers (MFCs); pH, oxidation-reduction potential (ORP), and temperature sensors. Antifoam (435530; Sigma-Aldrich) was continuously added to the bioreactor at a rate of 10Â Î¼L/h to avoid foaming. Chemostat cultures were run at three dilution rates: âˆ¼1.0, âˆ¼2.0, and âˆ¼2.8Â dayâˆ’1(Âµ âˆ¼0.04, 0.08, and 0.12Â hâˆ’1, respectively) with variable gas-liquid mass transfer conditions (gas flow rate and agitation) to maintain similar steady-state biomass concentrations (Table 1). All steady-state results reported here were collected after optical density (OD), gas uptake, and production rates had been stable for at least 3â€’5 working volumes."
2021,Gaurav Garg; Gholamreza Anbarjafari; Vladimir Kuts,Digital Twin for Fanuc Robots: Industrial Robot Programming and Simulation using Virtual Reality,https://www.mdpi.com/2071-1050/13/18/10336,http://dx.doi.org/10.3390/su131810336,,,"A Digital Twin is the concept of creating a digital replica of physical models (such as a robot). This is similar to establishing a simulation using a robot operating system (ROS) or other industrial-owned platforms to simulate robot operations and sending the details to the robot controller. In this paper, we propose a Digital Twin model that assists in the online/remote programming of a robotic cell by creating a 3D digital environment of a real-world configuration. Our Digital Twin model consists of two components, (1) a physical model: FANUC robot (M-10iA/12), and (2) a digital model: Unity (a gaming platform) that comes with specialized plugins for virtual and augmented reality devices. One of the main challenges in the existing approach of robot programming is writing and modifying code for a robot trajectory that is eased in our framework using a Digital Twin. Using a Digital Twin setup along with Virtual Reality, we observe the trajectory replication between digital and physical robots. The simulation analysis provided a latency of approximately 40 ms with an error range of âˆ’0.28 to 0.28âˆ˜across the robot joint movements in a simulation environment and âˆ’0.3 to 0.3âˆ˜across the actual robot joint movements. Therefore, we can conclude that our developed model is suitable for industrial applications."
